net sta f1(Hz) f2(Hz) dt(s) tshift(s) err zp rp zs rs ts pstart pend pshift sstart send sshift
YN BAS 0.0001 1.0 0.1 10 0.0100 0 0 0 0 1 -5.0 12.0 0.0 -10.0 70.0 -0.3
YN CAY 0.0001 1.0 0.1 10 0.0010 0 0 0 0 1 -5.0 20.0 0.0 -10.0 100.0 -0.9
YN CHN 0.0001 1.0 0.1 10 0.0100 0 0 0 0 0 -5.0 20.0 0.0 -10.0 75.0 0.0
YN CUX 0.0001 1.0 0.1 10 0.0050 0 0 0 0 1 -5.0 22.0 0.0 -10.0 80.0 -0.7
YN DAY 0.0001 1.0 0.1 10 0.0010 0 0 0 0 0 -5.0 19.0 0.0 -10.0 70.0 0.0
YN DEQ 0.0001 1.0 0.1 10 0.0001 0 0 0 0 1 -5.0 21.0 0.0 -10.0 85.0 0.1
YN DLJ 0.0001 1.0 0.1 10 0.0001 0 0 0 0 1 -5.0 30.0 0.0 -10.0 85.0 0.3
YN DOC 0.0001 1.0 0.1 10 0.0001 0 0 0 0 0 -5.0 33.0 0.0 -10.0 130.0 0.0
YN EYA 0.0001 1.0 0.1 10 0.0001 0 0 0 0 0 -5.0 20.0 0.0 -10.0 100.0 0.0
YN HCB 0.0001 1.0 0.1 10 0.0001 0 0 0 0 1 -5.0 21.6 0.0 -10.0 95.0 -1.5
YN HEQ 0.0001 1.0 0.1 10 0.0001 0 0 0 0 1 -5.0 13.0 0.0 -10.0 55.0 -0.1
YN HLT 0.0001 1.0 0.1 10 0.0001 0 0 0 0 1 -5.0 33.0 0.0 -10.0 100.0 -4.8
YN HUP 0.0001 1.0 0.1 10 0.0010 0 0 0 0 1 -5.0 21.0 0.0 -10.0 70.0 -0.6
YN JIG 0.0001 1.0 0.1 10 0.0050 0 0 0 0 1 -5.0 26.0 0.0 -10.0 90.0 -1.1
YN KMI 0.0001 1.0 0.1 10 0.0001 0 0 0 0 1 -5.0 24.0 0.0 -10.0 90.0 -4.6
YN LGH 0.0001 1.0 0.1 10 0.0001 0 0 0 0 1 -5.0 22.0 0.0 -10.0 70.0 0.0
YN LIC 0.0001 1.0 0.1 10 0.0001 0 0 0 0 0 -5.0 15.0 0.0 -10.0 100.0 0.0
YN LIJ 0.0001 1.0 0.1 10 0.0001 0 0 0 0 1 -5.0 20.0 0.0 -10.0 100.0 -0.1
YN LUQ 0.0001 1.0 0.1 10 0.0001 0 0 0 0 0 -5.0 20.0 0.0 -10.0 100.0 0.0
YN LUS 0.0001 1.0 0.1 10 0.0001 0 0 0 0 0 -5.0 20.0 0.0 -10.0 100.0 0.0
YN MAS 0.0001 1.0 0.1 10 0.0001 0 0 0 0 1 -5.0 16.0 0.0 -10.0 80.0 -1.7
YN NLA 0.0001 1.0 0.1 10 0.0001 0 0 0 0 1 -5.0 20.0 0.0 -10.0 90.0 -0.2
YN PZH 0.0001 1.0 0.1 10 0.0010 0 0 0 0 1 -5.0 20.0 0.0 -10.0 80.0 -0.8
YN QIJ 0.0001 1.0 0.1 10 0.0001 0 0 0 0 1 -5.0 31.0 0.0 -10.0 100.0 -3.5
YN QKT 0.0001 1.0 0.1 10 0.0001 0 0 0 0 0 -5.0 18.0 0.0 -10.0 100.0 0.0
YN SUB 0.0001 1.0 0.1 10 0.0100 0 0 0 0 1 -5.0 21.0 0.0 -10.0 70.0 -2.1
YN TBG 0.0001 1.0 0.1 10 0.0020 0 0 0 0 1 -5.0 25.0 0.0 -10.0 100.0 -2.5
YN TNC 0.0001 1.0 0.1 10 0.0001 0 0 0 0 1 -5.0 20.0 0.0 -10.0 60.0 -0.1
YN WAD 0.0001 1.0 0.1 10 0.0001 0 0 0 0 1 -5.0 20.0 0.0 -10.0 80.0 -1.1
YN XBT 0.0001 1.0 0.1 10 0.0010 0 0 0 0 1 -5.0 12.0 0.0 -10.0 70.0 -0.8
YN XHT 0.0001 1.0 0.1 10 0.0020 0 0 0 0 1 -5.0 20.0 0.0 -10.0 80.0 -0.6
YN YIM 0.0001 1.0 0.1 10 0.0010 0 0 0 0 1 -5.0 20.0 0.0 -10.0 100.0 -1.0
YN YOD 0.0001 1.0 0.1 10 0.0050 0 0 0 0 1 -5.0 20.0 0.0 -10.0 80.0 -1.3
YN YOS 0.0001 1.0 0.1 10 0.0100 0 0 0 0 1 -5.0 18.0 0.0 -10.0 70.0 -0.0
YN YUJ 0.0001 1.0 0.1 10 0.0010 0 0 0 0 1 -5.0 24.0 0.0 -10.0 90.0 -1.3
YN YUL 0.0001 1.0 0.1 10 0.0001 0 0 0 0 1 -5.0 20.0 0.0 -10.0 80.0 0.1
YN YUM 0.0001 1.0 0.1 10 0.0001 0 0 0 0 0 -5.0 22.0 0.0 -10.0 100.0 0.0
YN YUX 0.0001 1.0 0.1 10 0.0001 0 0 0 0 0 -5.0 20.0 0.0 -10.0 100.0 0.0
YN YYU 0.0001 1.0 0.1 10 0.0010 0 0 0 0 1 -5.0 20.0 0.0 -10.0 90.0 -1.7
YN ZHY 0.0001 1.0 0.1 10 0.0050 0 0 0 0 0 -5.0 20.0 0.0 -10.0 100.0 0.0
YN ZOD 0.0001 1.0 0.1 10 0.0001 0 0 0 0 0 -5.0 20.0 0.0 -10.0 100.0 0.0
