egfname station cha dist azimuth takeoff weight
egf BAS ts 95.0691 230.123 91.18 1.0
egf CAY ts 287.404 192.59 55.36 1.0
egf CUX ts 182.065 112.588 66.36 1.0
egf DEQ ts 324.581 343.278 55.36 1.0
egf DLJ ts 287.574 328.447 55.36 1.0
egf HCB ts 292.537 117.125 55.36 1.0
egf HEQ ts 101.373 16.0646 91.03 0.3
egf HLT ts 295.22 100.673 55.36 1.0
egf HUP ts 167.321 52.3203 66.36 1.0
egf JIG ts 255.637 159.775 66.36 1.0
egf KMI ts 295.21 100.673 55.36 1.0
egf LGH ts 247.064 23.3206 66.36 0.3
egf LIJ ts 140.523 14.8383 90.36 1.0
egf MAS ts 188.821 223.328 66.36 1.0
egf NLA ts 208.403 30.5345 66.36 1.0
egf PZH ts 208.843 63.3579 66.36 1.0
egf QIJ ts 336.248 65.2246 55.36 1.0
egf SUB ts 208.736 122.558 66.36 1.0
egf TBG ts 252.939 242.545 66.36 1.0
egf TNC ts 153.351 242.7 90.20 0.3
egf WAD ts 252.723 226.38 66.36 1.0
egf XBT ts 64.216 100.14 92.16 1.0
egf XHT ts 172.937 234.119 66.36 1.0
egf YIM ts 253.136 114.627 66.36 1.0
egf YOD ts 191.723 199.356 66.36 1.0
egf YOS ts 144.695 38.1632 90.30 1.0
egf YUJ ts 316.029 137.073 55.36 1.0
egf YUL ts 55.3872 295.629 92.53 1.0
egf YYU ts 268.451 41.7331 66.35 0.3
